trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-90.39038603177778,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-135.3024448588982,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,13,-9.2758572810755,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-96.90593719324711,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-224.80280157707202,"{0: 7, 1: 3, 2: 4, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-65.58471725663404,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-141.6698829268597,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,12,0.847740313726937,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-209.12140323089466,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-91.4470002867773,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-103.74383113719851,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-37.01043027799593,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-2.7990528503804644,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,4,-63.56973981826583,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-72.57327554491775,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-142.09427220270214,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-32.91760444992622,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-129.54748011831455,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-32.8888010721769,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,3,-47.466317059496326,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,11.503282636179225,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,11,3.1305300583405584,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,20,-3.7013860631184294,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,27.140026876609095,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,3.621464766096735,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-4.769193046131116,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,2,-55.34469011397241,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,11,-17.039405134535407,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,0,-32.72870045141805,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-5.344219703359903,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
