trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9999987675502532}",25,0,-150.68796845352907,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.9999950702040505}",25,0,-145.0945989462373,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.7, 'e': 0.9999889079705055}",20,0,-41.093367086874714,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.7, 'e': 0.9999802808648077}",20,13,11.19241662272877,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.7, 'e': 0.9999691889082218}",25,0,-184.02388534107283,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
6,False,"{'a': 0.7, 'e': 0.9999556321280886}",25,0,-108.9337690867629,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.9999396105578239}",25,0,-37.25729868737147,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.9999211242369195}",20,0,-58.5878536230092,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.9999001732109422}",20,0,-61.55802841538469,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.9998767575315342}",25,0,-111.55882770616026,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.9998508772564129}",30,0,-58.612585678402205,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.9998225324493704}",20,0,-116.60451497393298,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.9997917231802739}",25,0,-62.32403818712211,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.9997584495250651}",20,0,-56.235923014555475,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.9997227115657603}",20,0,-117.40835564139135,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.99968450939045}",30,0,-42.06817345631178,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.9996438430932985}",30,0,-237.32682701475917,"{0: 12, 1: 4, 2: 9, 3: 3, 4: 2}",0
18,False,"{'a': 0.7, 'e': 0.9996007127745443}",20,0,-51.73937601166482,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.9995551185404994}",20,0,-177.0900632736002,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
