trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,-64,-320.780769437396,"{0: 57, 1: 13, 2: 16, 3: 7, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-100,-413.2645316540863,"{0: 76, 1: 18, 2: 26, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-758.6652390176766,"{0: 66, 1: 11, 2: 26, 3: 7, 4: 10}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,-100,-509.7006137887041,"{0: 89, 1: 16, 2: 13, 3: 3, 4: 9}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-72,-588.9396012870925,"{0: 48, 1: 12, 2: 20, 3: 4, 4: 8}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-64,-415.8142757765397,"{0: 49, 1: 6, 2: 20, 3: 5, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-23,-224.594129369521,"{0: 29, 1: 5, 2: 8, 3: 4, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-3,-57.62409716728671,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-506.88495846829795,"{0: 71, 1: 15, 2: 26, 3: 2, 4: 6}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,-100,-736.0012148882423,"{0: 86, 1: 11, 2: 14, 3: 5, 4: 14}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,-56,-416.8941050225339,"{0: 51, 1: 9, 2: 19, 3: 1, 4: 6}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-728.5154957378836,"{0: 72, 1: 11, 2: 26, 3: 6, 4: 10}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-100,-588.2616424744566,"{0: 75, 1: 13, 2: 25, 3: 5, 4: 7}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,-100,-298.0953073085819,"{0: 92, 1: 19, 2: 12, 3: 3, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,13,-72.01364064764363,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.3321738142508,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,7,-105.54301636163295,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,-100,-492.25575585165655,"{0: 87, 1: 11, 2: 20, 3: 6, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-718.9259287117064,"{0: 68, 1: 15, 2: 26, 3: 8, 4: 8}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,7,-116.64322747988456,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,-1,-141.372875981994,"{0: 15, 1: 6, 2: 1, 3: 2, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,9,-29.9714142704655,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,-43,-213.15894761728273,"{0: 45, 1: 3, 2: 10, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,-49,-199.53520493380384,"{0: 61, 1: 7, 2: 12, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-70,-494.54203327556024,"{0: 60, 1: 5, 2: 18, 3: 5, 4: 7}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-100,-491.64562305058064,"{0: 73, 1: 15, 2: 22, 3: 5, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-1,-95.68058441736073,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,-100,-512.5875776561575,"{0: 74, 1: 14, 2: 28, 3: 5, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-21,-71.18779612571863,"{0: 30, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-539.2078886033496,"{0: 77, 1: 15, 2: 22, 3: 4, 4: 7}",0
